player,team,season,type
Thomas Vermaelen,FC Barcelona,2017-2018,club
Andre Gomes,FC Barcelona,2017-2018,club
Busquets,FC Barcelona,2017-2018,club
Carles Alena,FC Barcelona,2017-2018,club
Coutinho,FC Barcelona,2017-2018,club
Denis Suarez,FC Barcelona,2017-2018,club
Iniesta,FC Barcelona,2017-2018,club
Jose Arnaiz,FC Barcelona,2017-2018,club
Oriol Busquets,FC Barcelona,2017-2018,club
Paulinho,FC Barcelona,2017-2018,club
Ivan Rakitic,FC Barcelona,2017-2018,club
Samper,FC Barcelona,2017-2018,club
Sergi Roberto,FC Barcelona,2017-2018,club
Lionel Messi,FC Barcelona,2017-2018,club
Paco Alcacer,FC Barcelona,2017-2018,club
Luis Suarez,FC Barcelona,2017-2018,club
Valverde,FC Barcelona,2017-2018,club
Aspiazu,FC Barcelona,2017-2018,club
Barbara,FC Barcelona,2017-2018,club
De la Fuente,FC Barcelona,2017-2018,club
Jasper Cillessen,FC Barcelona,2018-2019,club
Inaki Pena,FC Barcelona,2018-2019,club
Jokin Ezkieta,FC Barcelona,2018-2019,club
Marc-Andre ter Stegen,FC Barcelona,2018-2019,club
Chumi,FC Barcelona,2018-2019,club
Guillem Jaime,FC Barcelona,2018-2019,club
Jordi Alba,FC Barcelona,2018-2019,club
Jorge Cuenca,FC Barcelona,2018-2019,club
Juan Miranda,FC Barcelona,2018-2019,club
Clement Lenglet,FC Barcelona,2018-2019,club
Jeison Murillo,FC Barcelona,2018-2019,club
Nelson Semedo,FC Barcelona,2018-2019,club
Pique,FC Barcelona,2018-2019,club
Jean-Clair Todibo,FC Barcelona,2018-2019,club
Samuel Umtiti,FC Barcelona,2018-2019,club
Thomas Vermaelen,FC Barcelona,2018-2019,club
Moussa Wague,FC Barcelona,2018-2019,club
Arthur,FC Barcelona,2018-2019,club
Kevin-Prince Boateng,FC Barcelona,2018-2019,club
Busquets,FC Barcelona,2018-2019,club
Carles Alena,FC Barcelona,2018-2019,club
Coutinho,FC Barcelona,2018-2019,club
Denis Suarez,FC Barcelona,2018-2019,club
Oriol Busquets,FC Barcelona,2018-2019,club
Rafinha,FC Barcelona,2018-2019,club
Ivan Rakitic,FC Barcelona,2018-2019,club
Riqui Puig,FC Barcelona,2018-2019,club
Sergi Roberto,FC Barcelona,2018-2019,club
Arturo Vidal,FC Barcelona,2018-2019,club
Abel Ruiz,FC Barcelona,2018-2019,club
Alex Collado,FC Barcelona,2018-2019,club
Carles Perez,FC Barcelona,2018-2019,club
