player,team,season,type
Dean Leacock,Fulham FC,2001-2002,club
Kieran McAnespie,Fulham FC,2001-2002,club
Andy Melville,Fulham FC,2001-2002,club
Abdeslam Ouaddou,Fulham FC,2001-2002,club
Boa Morte,Fulham FC,2001-2002,club
Lee Clark,Fulham FC,2001-2002,club
John Collins,Fulham FC,2001-2002,club
Sean Davis,Fulham FC,2001-2002,club
Bjarne Goldbaek,Fulham FC,2001-2002,club
Jon Harley,Fulham FC,2001-2002,club
Sylvain Legwinski,Fulham FC,2001-2002,club
Eddie Lewis,Fulham FC,2001-2002,club
Luke Cornwall,Fulham FC,2001-2002,club
Barry Hayles,Fulham FC,2001-2002,club
Steve Marlet,Fulham FC,2001-2002,club
Louis Saha,Fulham FC,2001-2002,club
Andrejs Stolcers,Fulham FC,2001-2002,club
Callum Willock,Fulham FC,2001-2002,club
Jean Tigana,Fulham FC,2001-2002,club
Gerry Peyton,Fulham FC,2001-2002,club
Martin Herrera,Fulham FC,2002-2003,club
Maik Taylor,Fulham FC,2002-2003,club
Edwin van der Sar,Fulham FC,2002-2003,club
Martin Djetou,Fulham FC,2002-2003,club
Steve Finnan,Fulham FC,2002-2003,club
Alain Goma,Fulham FC,2002-2003,club
Mark Hudson,Fulham FC,2002-2003,club
Zat Knight,Fulham FC,2002-2003,club
Dean Leacock,Fulham FC,2002-2003,club
Andy Melville,Fulham FC,2002-2003,club
Abdeslam Ouaddou,Fulham FC,2002-2003,club
Pierre Wome,Fulham FC,2002-2003,club
Boa Morte,Fulham FC,2002-2003,club
Lee Clark,Fulham FC,2002-2003,club
John Collins,Fulham FC,2002-2003,club
Sean Davis,Fulham FC,2002-2003,club
Bjarne Goldbaek,Fulham FC,2002-2003,club
Jon Harley,Fulham FC,2002-2003,club
Junichi Inamoto,Fulham FC,2002-2003,club
Sylvain Legwinski,Fulham FC,2002-2003,club
Luke Cornwall,Fulham FC,2002-2003,club
Elvis Hammond,Fulham FC,2002-2003,club
Barry Hayles,Fulham FC,2002-2003,club
Steve Marlet,Fulham FC,2002-2003,club
Louis Saha,Fulham FC,2002-2003,club
Facundo Sava,Fulham FC,2002-2003,club
Andrejs Stolcers,Fulham FC,2002-2003,club
Callum Willock,Fulham FC,2002-2003,club
Chris Coleman,Fulham FC,2002-2003,club
Gerry Peyton,Fulham FC,2002-2003,club
Dave Beasant,Fulham FC,2003-2004,club
Mark Crossley,Fulham FC,2003-2004,club
Edwin van der Sar,Fulham FC,2003-2004,club
Carlos Bocanegra,Fulham FC,2003-2004,club
Jerome Bonnissel,Fulham FC,2003-2004,club
Martin Djetou,Fulham FC,2003-2004,club
Alain Goma,Fulham FC,2003-2004,club
Adam Green,Fulham FC,2003-2004,club
Zat Knight,Fulham FC,2003-2004,club
Alex Lawless,Fulham FC,2003-2004,club
Dean Leacock,Fulham FC,2003-2004,club
Ian Pearce,Fulham FC,2003-2004,club
Moritz Volz,Fulham FC,2003-2004,club
Boa Morte,Fulham FC,2003-2004,club
Malik Buari,Fulham FC,2003-2004,club
Lee Clark,Fulham FC,2003-2004,club
Sean Davis,Fulham FC,2003-2004,club
Tom Davis,Fulham FC,2003-2004,club
Jon Harley,Fulham FC,2003-2004,club
Junichi Inamoto,Fulham FC,2003-2004,club
Sylvain Legwinski,Fulham FC,2003-2004,club
Mark Pembridge,Fulham FC,2003-2004,club
Bobby Petta,Fulham FC,2003-2004,club
Darren Pratley,Fulham FC,2003-2004,club
Zeshan Rehman,Fulham FC,2003-2004,club
Elvis Hammond,Fulham FC,2003-2004,club
Barry Hayles,Fulham FC,2003-2004,club
Collins John,Fulham FC,2003-2004,club
Brian McBride,Fulham FC,2003-2004,club
Facundo Sava,Fulham FC,2003-2004,club
Andrejs Stolcers,Fulham FC,2003-2004,club
Chris Coleman,Fulham FC,2003-2004,club
Mark Crossley,Fulham FC,2004-2005,club
Ross Flitney,Fulham FC,2004-2005,club
Edwin van der Sar,Fulham FC,2004-2005,club
Carlos Bocanegra,Fulham FC,2004-2005,club
Jerome Bonnissel,Fulham FC,2004-2005,club
Alain Goma,Fulham FC,2004-2005,club
Adam Green,Fulham FC,2004-2005,club
Zat Knight,Fulham FC,2004-2005,club
Alex Lawless,Fulham FC,2004-2005,club
Dean Leacock,Fulham FC,2004-2005,club
Ian Pearce,Fulham FC,2004-2005,club
Liam Rosenior,Fulham FC,2004-2005,club
Moritz Volz,Fulham FC,2004-2005,club
Robert Watkins,Fulham FC,2004-2005,club
Boa Morte,Fulham FC,2004-2005,club
Malik Buari,Fulham FC,2004-2005,club
Lee Clark,Fulham FC,2004-2005,club
Papa Bouba Diop,Fulham FC,2004-2005,club
Sean Doherty,Fulham FC,2004-2005,club
Liam Fontaine,Fulham FC,2004-2005,club
Claus Jensen,Fulham FC,2004-2005,club
Sylvain Legwinski,Fulham FC,2004-2005,club
Billy McKinlay,Fulham FC,2004-2005,club
Mark Pembridge,Fulham FC,2004-2005,club
Darren Pratley,Fulham FC,2004-2005,club
Zeshan Rehman,Fulham FC,2004-2005,club
Michael Timlin,Fulham FC,2004-2005,club
Andy Cole,Fulham FC,2004-2005,club
Ismael Ehui,Fulham FC,2004-2005,club
Collins John,Fulham FC,2004-2005,club
Brian McBride,Fulham FC,2004-2005,club
Tomasz Radzinski,Fulham FC,2004-2005,club
Chris Coleman,Fulham FC,2004-2005,club
Mark Crossley,Fulham FC,2005-2006,club
Antti Niemi,Fulham FC,2005-2006,club
Tony Warner,Fulham FC,2005-2006,club
Carlos Bocanegra,Fulham FC,2005-2006,club
Philippe Christanval,Fulham FC,2005-2006,club
Alain Goma,Fulham FC,2005-2006,club
Adam Green,Fulham FC,2005-2006,club
Niclas Jensen,Fulham FC,2005-2006,club
Zat Knight,Fulham FC,2005-2006,club
Dean Leacock,Fulham FC,2005-2006,club
Robert Milsom,Fulham FC,2005-2006,club
Ian Pearce,Fulham FC,2005-2006,club
Liam Rosenior,Fulham FC,2005-2006,club
Moritz Volz,Fulham FC,2005-2006,club
Boa Morte,Fulham FC,2005-2006,club
Michael Brown,Fulham FC,2005-2006,club
Jimmy Bullard,Fulham FC,2005-2006,club
Papa Bouba Diop,Fulham FC,2005-2006,club
Simon Elliott,Fulham FC,2005-2006,club
Ahmad Elrich,Fulham FC,2005-2006,club
Claus Jensen,Fulham FC,2005-2006,club
Sylvain Legwinski,Fulham FC,2005-2006,club
Neale McDermott,Fulham FC,2005-2006,club
Mark Pembridge,Fulham FC,2005-2006,club
Zeshan Rehman,Fulham FC,2005-2006,club
Heidar Helguson,Fulham FC,2005-2006,club
Collins John,Fulham FC,2005-2006,club
Brian McBride,Fulham FC,2005-2006,club
Tomasz Radzinski,Fulham FC,2005-2006,club
Chris Coleman,Fulham FC,2005-2006,club
Ben Alnwick,Tottenham Hotspur,2006-2007,club
Rob Burch,Tottenham Hotspur,2006-2007,club
Radek Cerny,Tottenham Hotspur,2006-2007,club
Paul Robinson,Tottenham Hotspur,2006-2007,club
Benoit Assou-Ekotto,Tottenham Hotspur,2006-2007,club
Pascal Chimbonda,Tottenham Hotspur,2006-2007,club
Michael Dawson,Tottenham Hotspur,2006-2007,club
Dorian Dervite,Tottenham Hotspur,2006-2007,club
Anthony Gardner,Tottenham Hotspur,2006-2007,club
Phil Ifil,Tottenham Hotspur,2006-2007,club
Ledley King,Tottenham Hotspur,2006-2007,club
Charlie Lee,Tottenham Hotspur,2006-2007,club
Young-Pyo Lee,Tottenham Hotspur,2006-2007,club
Ricardo Rocha,Tottenham Hotspur,2006-2007,club
Hossam Ghaly,Tottenham Hotspur,2006-2007,club
Tom Huddlestone,Tottenham Hotspur,2006-2007,club
Jermaine Jenas,Tottenham Hotspur,2006-2007,club
Aaron Lennon,Tottenham Hotspur,2006-2007,club
Danny Murphy,Tottenham Hotspur,2006-2007,club
Paul Stalteri,Tottenham Hotspur,2006-2007,club
Adel Taarabt,Tottenham Hotspur,2006-2007,club
Teemu Tainio,Tottenham Hotspur,2006-2007,club
Didier Zokora,Tottenham Hotspur,2006-2007,club
Andy Barcham,Tottenham Hotspur,2006-2007,club
Lee Barnard,Tottenham Hotspur,2006-2007,club
Dimitar Berbatov,Tottenham Hotspur,2006-2007,club
Jermain Defoe,Tottenham Hotspur,2006-2007,club
Robbie Keane,Tottenham Hotspur,2006-2007,club
Mido,Tottenham Hotspur,2006-2007,club
Mark Yeates,Tottenham Hotspur,2006-2007,club
Martin Jol,Tottenham Hotspur,2006-2007,club
Ricardo Moniz,Tottenham Hotspur,2006-2007,club
Radek Cerny,Tottenham Hotspur,2007-2008,club
Tommy Forecast,Tottenham Hotspur,2007-2008,club
Paul Robinson,Tottenham Hotspur,2007-2008,club
Benoit Assou-Ekotto,Tottenham Hotspur,2007-2008,club
Gareth Bale,Tottenham Hotspur,2007-2008,club
Pascal Chimbonda,Tottenham Hotspur,2007-2008,club
Michael Dawson,Tottenham Hotspur,2007-2008,club
Dorian Dervite,Tottenham Hotspur,2007-2008,club
Chris Gunter,Tottenham Hotspur,2007-2008,club
Alan Hutton,Tottenham Hotspur,2007-2008,club
Younes Kaboul,Tottenham Hotspur,2007-2008,club
Ledley King,Tottenham Hotspur,2007-2008,club
Young-Pyo Lee,Tottenham Hotspur,2007-2008,club
Ricardo Rocha,Tottenham Hotspur,2007-2008,club
Danny Rose,Tottenham Hotspur,2007-2008,club
Jonathan Woodgate,Tottenham Hotspur,2007-2008,club
Kevin-Prince Boateng,Tottenham Hotspur,2007-2008,club
Gilberto,Tottenham Hotspur,2007-2008,club
Tom Huddlestone,Tottenham Hotspur,2007-2008,club
David Hutton,Tottenham Hotspur,2007-2008,club
Jermaine Jenas,Tottenham Hotspur,2007-2008,club
Aaron Lennon,Tottenham Hotspur,2007-2008,club
Jamie O'Hara,Tottenham Hotspur,2007-2008,club
Adel Taarabt,Tottenham Hotspur,2007-2008,club
Teemu Tainio,Tottenham Hotspur,2007-2008,club
Didier Zokora,Tottenham Hotspur,2007-2008,club
Darren Bent,Tottenham Hotspur,2007-2008,club
Dimitar Berbatov,Tottenham Hotspur,2007-2008,club
Robbie Keane,Tottenham Hotspur,2007-2008,club
Juande Ramos,Tottenham Hotspur,2007-2008,club
Ricardo Moniz,Tottenham Hotspur,2007-2008,club
Gustavo Poyet,Tottenham Hotspur,2007-2008,club
Hans Leitert,Tottenham Hotspur,2007-2008,club
Anton McElhone,Tottenham Hotspur,2007-2008,club
Trevor Carson,Sunderland AFC,2008-2009,club
Nick Colgan,Sunderland AFC,2008-2009,club
Marton Fulop,Sunderland AFC,2008-2009,club
Craig Gordon,Sunderland AFC,2008-2009,club
Phil Bardsley,Sunderland AFC,2008-2009,club
Tal Ben Haim,Sunderland AFC,2008-2009,club
Danny Collins,Sunderland AFC,2008-2009,club
Calum Davenport,Sunderland AFC,2008-2009,club
Anton Ferdinand,Sunderland AFC,2008-2009,club
Peter Hartley,Sunderland AFC,2008-2009,club
Michael Kay,Sunderland AFC,2008-2009,club
Michael Liddle,Sunderland AFC,2008-2009,club
Jean-Yves M'voto,Sunderland AFC,2008-2009,club
George McCartney,Sunderland AFC,2008-2009,club
Paul McShane,Sunderland AFC,2008-2009,club
Nayron Nosworthy,Sunderland AFC,2008-2009,club
Carlos Edwards,Sunderland AFC,2008-2009,club
Jordan Henderson,Sunderland AFC,2008-2009,club
Grant Leadbitter,Sunderland AFC,2008-2009,club
Nathan Luscombe,Sunderland AFC,2008-2009,club
Liam Miller,Sunderland AFC,2008-2009,club
Andy Reid,Sunderland AFC,2008-2009,club
Kieran Richardson,Sunderland AFC,2008-2009,club
Teemu Tainio,Sunderland AFC,2008-2009,club
Dean Whitehead,Sunderland AFC,2008-2009,club
Djibril Cisse,Sunderland AFC,2008-2009,club
Jordan Cook,Sunderland AFC,2008-2009,club
David Dowson,Sunderland AFC,2008-2009,club
David Healy,Sunderland AFC,2008-2009,club
Kenwyne Jones,Sunderland AFC,2008-2009,club
Daryl Murphy,Sunderland AFC,2008-2009,club
Martyn Waghorn,Sunderland AFC,2008-2009,club
Dwight Yorke,Sunderland AFC,2008-2009,club
Trevor Carson,Sunderland AFC,2009-2010,club
Craig Gordon,Sunderland AFC,2009-2010,club
Phil Bardsley,Sunderland AFC,2009-2010,club
Paulo da Silva,Sunderland AFC,2009-2010,club
Anton Ferdinand,Sunderland AFC,2009-2010,club
Alan Hutton,Sunderland AFC,2009-2010,club
Matt Kilgallon,Sunderland AFC,2009-2010,club
Michael Liddle,Sunderland AFC,2009-2010,club
George McCartney,Sunderland AFC,2009-2010,club
John Mensah,Sunderland AFC,2009-2010,club
Michael Turner,Sunderland AFC,2009-2010,club
Lorik Cana,Sunderland AFC,2009-2010,club
Lee Cattermole,Sunderland AFC,2009-2010,club
Jack Colback,Sunderland AFC,2009-2010,club
Jordan Henderson,Sunderland AFC,2009-2010,club
Conor Hourihane,Sunderland AFC,2009-2010,club
David Meyler,Sunderland AFC,2009-2010,club
Andy Reid,Sunderland AFC,2009-2010,club
Kieran Richardson,Sunderland AFC,2009-2010,club
Boudewijn Zenden,Sunderland AFC,2009-2010,club
Benjani,Sunderland AFC,2009-2010,club
Darren Bent,Sunderland AFC,2009-2010,club
Fraizer Campbell,Sunderland AFC,2009-2010,club
Jordan Cook,Sunderland AFC,2009-2010,club
Kenwyne Jones,Sunderland AFC,2009-2010,club
Ryan Noble,Sunderland AFC,2009-2010,club
Steve Bruce,Sunderland AFC,2009-2010,club
Trevor Carson,Sunderland AFC,2010-2011,club
Craig Gordon,Sunderland AFC,2010-2011,club
Simon Mignolet,Sunderland AFC,2010-2011,club
Blair Adams,Sunderland AFC,2010-2011,club
Marcos Angeleri,Sunderland AFC,2010-2011,club
Phil Bardsley,Sunderland AFC,2010-2011,club
Titus Bramble,Sunderland AFC,2010-2011,club
Ahmed El Mohamady,Sunderland AFC,2010-2011,club
Anton Ferdinand,Sunderland AFC,2010-2011,club
Louis Laing,Sunderland AFC,2010-2011,club
John Mensah,Sunderland AFC,2010-2011,club
Nedum Onuoha,Sunderland AFC,2010-2011,club
Michael Turner,Sunderland AFC,2010-2011,club
Lee Cattermole,Sunderland AFC,2010-2011,club
Jack Colback,Sunderland AFC,2010-2011,club
Jordan Henderson,Sunderland AFC,2010-2011,club
Billy Knott,Sunderland AFC,2010-2011,club
David Meyler,Sunderland AFC,2010-2011,club
Sulley Ali Muntari,Sunderland AFC,2010-2011,club
Adam Reed,Sunderland AFC,2010-2011,club
Kieran Richardson,Sunderland AFC,2010-2011,club
Cristian Riveros,Sunderland AFC,2010-2011,club
Stephane Sessegnon,Sunderland AFC,2010-2011,club
Boudewijn Zenden,Sunderland AFC,2010-2011,club
Fraizer Campbell,Sunderland AFC,2010-2011,club
Jordan Cook,Sunderland AFC,2010-2011,club
Asamoah Gyan,Sunderland AFC,2010-2011,club
Craig Lynch,Sunderland AFC,2010-2011,club
Ryan Noble,Sunderland AFC,2010-2011,club
Danny Welbeck,Sunderland AFC,2010-2011,club
Steve Bruce,Sunderland AFC,2010-2011,club
Anthony Lopes,Olympique Lyon,2012-2013,club
Jeremy Frick,Olympique Lyon,2012-2013,club
Mathieu Gorgelin,Olympique Lyon,2012-2013,club
Remy Vercoutre,Olympique Lyon,2012-2013,club
Loic Abenzoar,Olympique Lyon,2012-2013,club
Milan Bisevac,Olympique Lyon,2012-2013,club
Mouhamadou Dabo,Olympique Lyon,2012-2013,club
Bakary Kone,Olympique Lyon,2012-2013,club
Dejan Lovren,Olympique Lyon,2012-2013,club
Anthony Reveillere,Olympique Lyon,2012-2013,club
Naby Sarr,Olympique Lyon,2012-2013,club
Samuel Umtiti,Olympique Lyon,2012-2013,club
Amos Youga,Olympique Lyon,2012-2013,club
Mehdi Zeffane,Olympique Lyon,2012-2013,club
Fares Bahlouli,Olympique Lyon,2012-2013,club
Jordan Ferri,Olympique Lyon,2012-2013,club
Gueida Fofana,Olympique Lyon,2012-2013,club
Maxime Gonalons,Olympique Lyon,2012-2013,club
Yoann Gourcuff,Olympique Lyon,2012-2013,club
Clement Grenier,Olympique Lyon,2012-2013,club
Arnold Mvuemba,Olympique Lyon,2012-2013,club
Yassine Benzia,Olympique Lyon,2012-2013,club
Jimmy Briand,Olympique Lyon,2012-2013,club
Rachid Ghezzal,Olympique Lyon,2012-2013,club
Bafetimbi Gomis,Olympique Lyon,2012-2013,club
Zakarie Labidi,Olympique Lyon,2012-2013,club
Alexandre Lacazette,Olympique Lyon,2012-2013,club
Lisandro Lopez,Olympique Lyon,2012-2013,club
Anthony Martial,Olympique Lyon,2012-2013,club
Clinton N'Jie,Olympique Lyon,2012-2013,club
Alassane Plea,Olympique Lyon,2012-2013,club
Remi Garde,Olympique Lyon,2012-2013,club
Gerald Baticle,Olympique Lyon,2012-2013,club
Bruno Genesio,Olympique Lyon,2012-2013,club
Joel Bats,Olympique Lyon,2012-2013,club
Robert Duverne,Olympique Lyon,2012-2013,club
Anthony Lopes,Olympique Lyon,2013-2014,club
Theo Defourny,Olympique Lyon,2013-2014,club
Jeremy Frick,Olympique Lyon,2013-2014,club
Mathieu Gorgelin,Olympique Lyon,2013-2014,club
Remy Vercoutre,Olympique Lyon,2013-2014,club
Henri Bedimo,Olympique Lyon,2013-2014,club
Milan Bisevac,Olympique Lyon,2013-2014,club
Mouhamadou Dabo,Olympique Lyon,2013-2014,club
Bakary Kone,Olympique Lyon,2013-2014,club
Miguel Lopes,Olympique Lyon,2013-2014,club
Romaric N'Gouma,Olympique Lyon,2013-2014,club
Naby Sarr,Olympique Lyon,2013-2014,club
Samuel Umtiti,Olympique Lyon,2013-2014,club
Mehdi Zeffane,Olympique Lyon,2013-2014,club
Fares Bahlouli,Olympique Lyon,2013-2014,club
Gael Danic,Olympique Lyon,2013-2014,club
Jordan Ferri,Olympique Lyon,2013-2014,club
Gueida Fofana,Olympique Lyon,2013-2014,club
Maxime Gonalons,Olympique Lyon,2013-2014,club
Yoann Gourcuff,Olympique Lyon,2013-2014,club
Clement Grenier,Olympique Lyon,2013-2014,club
