player,team,season,type
Giva,Santos FC,2012-2013,club
Henrique Dourado,Santos FC,2012-2013,club
Ezequiel Miralles,Santos FC,2012-2013,club
Neilton,Santos FC,2012-2013,club
Victor Andrade,Santos FC,2012-2013,club
Willian Jose,Santos FC,2012-2013,club
Claudinei Oliveira,Santos FC,2012-2013,club
Oier,FC Barcelona,2013-2014,club
Pinto,FC Barcelona,2013-2014,club
Victor Valdes,FC Barcelona,2013-2014,club
Adriano,FC Barcelona,2013-2014,club
Bartra,FC Barcelona,2013-2014,club
Dani Alves,FC Barcelona,2013-2014,club
Jordi Alba,FC Barcelona,2013-2014,club
Martin Montoya,FC Barcelona,2013-2014,club
Javier Mascherano,FC Barcelona,2013-2014,club
Patric,FC Barcelona,2013-2014,club
Pique,FC Barcelona,2013-2014,club
Puyol,FC Barcelona,2013-2014,club
Sergi Gomez,FC Barcelona,2013-2014,club
Ibrahim Afellay,FC Barcelona,2013-2014,club
Busquets,FC Barcelona,2013-2014,club
Cesc Fabregas,FC Barcelona,2013-2014,club
Jonathan dos Santos,FC Barcelona,2013-2014,club
Iniesta,FC Barcelona,2013-2014,club
Sergi Roberto,FC Barcelona,2013-2014,club
Alex Song,FC Barcelona,2013-2014,club
Xavi,FC Barcelona,2013-2014,club
Cristian Tello,FC Barcelona,2013-2014,club
Jean Dongou,FC Barcelona,2013-2014,club
Isaac Cuenca,FC Barcelona,2013-2014,club
Lionel Messi,FC Barcelona,2013-2014,club
Pedro,FC Barcelona,2013-2014,club
Alexis Sanchez,FC Barcelona,2013-2014,club
Adama Traore,FC Barcelona,2013-2014,club
Jorge Pautasso,FC Barcelona,2013-2014,club
Roura,FC Barcelona,2013-2014,club
Rubi,FC Barcelona,2013-2014,club
De la Fuente,FC Barcelona,2013-2014,club
Claudio Bravo,FC Barcelona,2014-2015,club
Jordi Masip,FC Barcelona,2014-2015,club
Marc-Andre ter Stegen,FC Barcelona,2014-2015,club
Adriano,FC Barcelona,2014-2015,club
Bartra,FC Barcelona,2014-2015,club
Dani Alves,FC Barcelona,2014-2015,club
Douglas,FC Barcelona,2014-2015,club
Edgar Ie,FC Barcelona,2014-2015,club
Jordi Alba,FC Barcelona,2014-2015,club
Martin Montoya,FC Barcelona,2014-2015,club
Javier Mascherano,FC Barcelona,2014-2015,club
Jeremy Mathieu,FC Barcelona,2014-2015,club
Pique,FC Barcelona,2014-2015,club
Thomas Vermaelen,FC Barcelona,2014-2015,club
Busquets,FC Barcelona,2014-2015,club
Diawandou Diagne,FC Barcelona,2014-2015,club
Gumbau,FC Barcelona,2014-2015,club
Alen Halilovic,FC Barcelona,2014-2015,club
Iniesta,FC Barcelona,2014-2015,club
Rafinha,FC Barcelona,2014-2015,club
Ivan Rakitic,FC Barcelona,2014-2015,club
Samper,FC Barcelona,2014-2015,club
Sergi Roberto,FC Barcelona,2014-2015,club
Xavi,FC Barcelona,2014-2015,club
Lionel Messi,FC Barcelona,2014-2015,club
Munir,FC Barcelona,2014-2015,club
Pedro,FC Barcelona,2014-2015,club
Sandro,FC Barcelona,2014-2015,club
Luis Suarez,FC Barcelona,2014-2015,club
Adama Traore,FC Barcelona,2014-2015,club
Luis Enrique,FC Barcelona,2014-2015,club
Barbara,FC Barcelona,2014-2015,club
Jesus Casas,FC Barcelona,2014-2015,club
Robert Moreno,FC Barcelona,2014-2015,club
Unzue,FC Barcelona,2014-2015,club
De la Fuente,FC Barcelona,2014-2015,club
Adrian Ortola,FC Barcelona,2015-2016,club
Claudio Bravo,FC Barcelona,2015-2016,club
Jordi Masip,FC Barcelona,2015-2016,club
Marc-Andre ter Stegen,FC Barcelona,2015-2016,club
Adriano,FC Barcelona,2015-2016,club
Aleix Vidal,FC Barcelona,2015-2016,club
Bartra,FC Barcelona,2015-2016,club
Dani Alves,FC Barcelona,2015-2016,club
Douglas,FC Barcelona,2015-2016,club
Jordi Alba,FC Barcelona,2015-2016,club
Javier Mascherano,FC Barcelona,2015-2016,club
Jeremy Mathieu,FC Barcelona,2015-2016,club
Pique,FC Barcelona,2015-2016,club
Thomas Vermaelen,FC Barcelona,2015-2016,club
Busquets,FC Barcelona,2015-2016,club
Carles Alena,FC Barcelona,2015-2016,club
Gumbau,FC Barcelona,2015-2016,club
Iniesta,FC Barcelona,2015-2016,club
Juan Camara,FC Barcelona,2015-2016,club
Wilfrid Kaptoum,FC Barcelona,2015-2016,club
Rafinha,FC Barcelona,2015-2016,club
Ivan Rakitic,FC Barcelona,2015-2016,club
Samper,FC Barcelona,2015-2016,club
Sergi Roberto,FC Barcelona,2015-2016,club
Arda Turan,FC Barcelona,2015-2016,club
Dani Romera,FC Barcelona,2015-2016,club
Lionel Messi,FC Barcelona,2015-2016,club
Munir,FC Barcelona,2015-2016,club
Sandro,FC Barcelona,2015-2016,club
Luis Suarez,FC Barcelona,2015-2016,club
Luis Enrique,FC Barcelona,2015-2016,club
Barbara,FC Barcelona,2015-2016,club
Jesus Casas,FC Barcelona,2015-2016,club
Robert Moreno,FC Barcelona,2015-2016,club
Unzue,FC Barcelona,2015-2016,club
De la Fuente,FC Barcelona,2015-2016,club
Jasper Cillessen,FC Barcelona,2016-2017,club
Jordi Masip,FC Barcelona,2016-2017,club
Marc-Andre ter Stegen,FC Barcelona,2016-2017,club
Aleix Vidal,FC Barcelona,2016-2017,club
Borja Lopez,FC Barcelona,2016-2017,club
Lucas Digne,FC Barcelona,2016-2017,club
Jordi Alba,FC Barcelona,2016-2017,club
Marlon,FC Barcelona,2016-2017,club
Javier Mascherano,FC Barcelona,2016-2017,club
Jeremy Mathieu,FC Barcelona,2016-2017,club
Nili,FC Barcelona,2016-2017,club
Pique,FC Barcelona,2016-2017,club
Samuel Umtiti,FC Barcelona,2016-2017,club
Andre Gomes,FC Barcelona,2016-2017,club
Busquets,FC Barcelona,2016-2017,club
Carles Alena,FC Barcelona,2016-2017,club
Denis Suarez,FC Barcelona,2016-2017,club
Iniesta,FC Barcelona,2016-2017,club
Wilfrid Kaptoum,FC Barcelona,2016-2017,club
Rafinha,FC Barcelona,2016-2017,club
Ivan Rakitic,FC Barcelona,2016-2017,club
Sergi Roberto,FC Barcelona,2016-2017,club
Arda Turan,FC Barcelona,2016-2017,club
Alex Carbonell,FC Barcelona,2016-2017,club
Cristian Tello,FC Barcelona,2016-2017,club
Marc Cardona,FC Barcelona,2016-2017,club
Lionel Messi,FC Barcelona,2016-2017,club
Paco Alcacer,FC Barcelona,2016-2017,club
Luis Suarez,FC Barcelona,2016-2017,club
Luis Enrique,FC Barcelona,2016-2017,club
Barbara,FC Barcelona,2016-2017,club
Jesus Casas,FC Barcelona,2016-2017,club
Robert Moreno,FC Barcelona,2016-2017,club
Unzue,FC Barcelona,2016-2017,club
De la Fuente,FC Barcelona,2016-2017,club
Alphonse Areola,Paris Saint-Germain,2017-2018,club
Sebastien Cibois,Paris Saint-Germain,2017-2018,club
Kevin Trapp,Paris Saint-Germain,2017-2018,club
Dani Alves,Paris Saint-Germain,2017-2018,club
Presnel Kimpembe,Paris Saint-Germain,2017-2018,club
Layvin Kurzawa,Paris Saint-Germain,2017-2018,club
Marquinhos,Paris Saint-Germain,2017-2018,club
Thomas Meunier,Paris Saint-Germain,2017-2018,club
Kevin Rimane,Paris Saint-Germain,2017-2018,club
Thiago Silva,Paris Saint-Germain,2017-2018,club
Yuri,Paris Saint-Germain,2017-2018,club
Yacine Adli,Paris Saint-Germain,2017-2018,club
Hatem Ben Arfa,Paris Saint-Germain,2017-2018,club
Antoine Bernede,Paris Saint-Germain,2017-2018,club
Lorenzo Callegari,Paris Saint-Germain,2017-2018,club
Lassana Diarra,Paris Saint-Germain,2017-2018,club
Giovani Lo Celso,Paris Saint-Germain,2017-2018,club
