player,team,season,type
Roberto Navajas,Real Sociedad,2012-2013,club
Claudio Bravo,Real Sociedad,2013-2014,club
Royo,Real Sociedad,2013-2014,club
Zubikarai,Real Sociedad,2013-2014,club
Ansotegi,Real Sociedad,2013-2014,club
Alexander Callens,Real Sociedad,2013-2014,club
Carlos Martinez,Real Sociedad,2013-2014,club
Cote,Real Sociedad,2013-2014,club
De la Bella,Real Sociedad,2013-2014,club
Elustondo,Real Sociedad,2013-2014,club
Inigo Martinez,Real Sociedad,2013-2014,club
Joseba Zaldua,Real Sociedad,2013-2014,club
Julen Etxabeguren,Real Sociedad,2013-2014,club
Mikel,Real Sociedad,2013-2014,club
Alain,Real Sociedad,2013-2014,club
Canales,Real Sociedad,2013-2014,club
Gonzalo Castro,Real Sociedad,2013-2014,club
Dani Estrada,Real Sociedad,2013-2014,club
Gaztanaga,Real Sociedad,2013-2014,club
Granero,Real Sociedad,2013-2014,club
Javi Ros,Real Sociedad,2013-2014,club
Markel Bergara,Real Sociedad,2013-2014,club
Pablo Hervias,Real Sociedad,2013-2014,club
Ruben Pardo,Real Sociedad,2013-2014,club
Xabi Prieto,Real Sociedad,2013-2014,club
Zurutuza,Real Sociedad,2013-2014,club
Agirretxe,Real Sociedad,2013-2014,club
Iker Hernandez,Real Sociedad,2013-2014,club
Sangalli,Real Sociedad,2013-2014,club
Haris Seferovic,Real Sociedad,2013-2014,club
Carlos Vela,Real Sociedad,2013-2014,club
Jagoba Arrasate,Real Sociedad,2013-2014,club
Lumbreras,Real Sociedad,2013-2014,club
Roberto Navajas,Real Sociedad,2013-2014,club
Bernabe,Atlético Madrid,2014-2015,club
Moya,Atlético Madrid,2014-2015,club
Jan Oblak,Atlético Madrid,2014-2015,club
Cristian Ansaldi,Atlético Madrid,2014-2015,club
Jose Gimenez,Atlético Madrid,2014-2015,club
Diego Godin,Atlético Madrid,2014-2015,club
Lucas Hernandez,Atlético Madrid,2014-2015,club
Ivan Perez,Atlético Madrid,2014-2015,club
Jesus Gamez,Atlético Madrid,2014-2015,club
Juanfran,Atlético Madrid,2014-2015,club
Miranda,Atlético Madrid,2014-2015,club
Nacho Monsalve,Atlético Madrid,2014-2015,club
Siqueira,Atlético Madrid,2014-2015,club
Cani,Atlético Madrid,2014-2015,club
Carlos Ramos,Atlético Madrid,2014-2015,club
Gabi,Atlético Madrid,2014-2015,club
Koke,Atlético Madrid,2014-2015,club
Mario Suarez,Atlético Madrid,2014-2015,club
Raul Garcia,Atlético Madrid,2014-2015,club
Saul,Atlético Madrid,2014-2015,club
Tiago,Atlético Madrid,2014-2015,club
Arda Turan,Atlético Madrid,2014-2015,club
Angel Correa,Atlético Madrid,2014-2015,club
Fernando Torres,Atlético Madrid,2014-2015,club
Hector Hernandez,Atlético Madrid,2014-2015,club
Raul Jimenez,Atlético Madrid,2014-2015,club
Sekou Keita,Atlético Madrid,2014-2015,club
Mario Mandzukic,Atlético Madrid,2014-2015,club
Samu Saiz,Atlético Madrid,2014-2015,club
Diego Simeone,Atlético Madrid,2014-2015,club
German Burgos,Atlético Madrid,2014-2015,club
Vizcaino,Atlético Madrid,2014-2015,club
Pablo Vercellone,Atlético Madrid,2014-2015,club
Carlos Menendez,Atlético Madrid,2014-2015,club
Oscar Ortega,Atlético Madrid,2014-2015,club
