player,team,season,type
Samed Yesil,Liverpool FC,2013-2014,club
Brendan Rodgers,Liverpool FC,2013-2014,club
Mike Marsh,Liverpool FC,2013-2014,club
Colin Pascoe,Liverpool FC,2013-2014,club
John Achterberg,Liverpool FC,2013-2014,club
Brad Jones,Liverpool FC,2014-2015,club
Simon Mignolet,Liverpool FC,2014-2015,club
Danny Ward,Liverpool FC,2014-2015,club
Alberto Moreno,Liverpool FC,2014-2015,club
Jon Flanagan,Liverpool FC,2014-2015,club
Glen Johnson,Liverpool FC,2014-2015,club
Lloyd Jones,Liverpool FC,2014-2015,club
Jose Enrique,Liverpool FC,2014-2015,club
Dejan Lovren,Liverpool FC,2014-2015,club
Manquillo,Liverpool FC,2014-2015,club
Mamadou Sakho,Liverpool FC,2014-2015,club
Martin Skrtel,Liverpool FC,2014-2015,club
Brad Smith,Liverpool FC,2014-2015,club
Kolo Toure,Liverpool FC,2014-2015,club
Joe Allen,Liverpool FC,2014-2015,club
Cameron Brannagan,Liverpool FC,2014-2015,club
Emre Can,Liverpool FC,2014-2015,club
Coutinho,Liverpool FC,2014-2015,club
Jack Dunn,Liverpool FC,2014-2015,club
Steven Gerrard,Liverpool FC,2014-2015,club
Jordan Henderson,Liverpool FC,2014-2015,club
Joao Carlos Teixeira,Liverpool FC,2014-2015,club
Adam Lallana,Liverpool FC,2014-2015,club
Lucas Leiva,Liverpool FC,2014-2015,club
Lazar Markovic,Liverpool FC,2014-2015,club
Sheyi Ojo,Liverpool FC,2014-2015,club
Jordan Rossiter,Liverpool FC,2014-2015,club
Mario Balotelli,Liverpool FC,2014-2015,club
Fabio Borini,Liverpool FC,2014-2015,club
Jordon Ibe,Liverpool FC,2014-2015,club
Rickie Lambert,Liverpool FC,2014-2015,club
Jerome Sinclair,Liverpool FC,2014-2015,club
Raheem Sterling,Liverpool FC,2014-2015,club
Daniel Sturridge,Liverpool FC,2014-2015,club
Samed Yesil,Liverpool FC,2014-2015,club
Brendan Rodgers,Liverpool FC,2014-2015,club
Mike Marsh,Liverpool FC,2014-2015,club
Colin Pascoe,Liverpool FC,2014-2015,club
John Achterberg,Liverpool FC,2014-2015,club
Adam Bogdan,Liverpool FC,2015-2016,club
Simon Mignolet,Liverpool FC,2015-2016,club
Danny Ward,Liverpool FC,2015-2016,club
Alberto Moreno,Liverpool FC,2015-2016,club
Steven Caulker,Liverpool FC,2015-2016,club
Daniel Cleary,Liverpool FC,2015-2016,club
Nathaniel Clyne,Liverpool FC,2015-2016,club
Jon Flanagan,Liverpool FC,2015-2016,club
Joe Gomez,Liverpool FC,2015-2016,club
Lloyd Jones,Liverpool FC,2015-2016,club
Jose Enrique,Liverpool FC,2015-2016,club
Dejan Lovren,Liverpool FC,2015-2016,club
Joe Maguire,Liverpool FC,2015-2016,club
Conor Masterson,Liverpool FC,2015-2016,club
Connor Randall,Liverpool FC,2015-2016,club
Mamadou Sakho,Liverpool FC,2015-2016,club
Martin Skrtel,Liverpool FC,2015-2016,club
Brad Smith,Liverpool FC,2015-2016,club
Tiago Ilori,Liverpool FC,2015-2016,club
Kolo Toure,Liverpool FC,2015-2016,club
Joe Allen,Liverpool FC,2015-2016,club
Cameron Brannagan,Liverpool FC,2015-2016,club
Emre Can,Liverpool FC,2015-2016,club
Coutinho,Liverpool FC,2015-2016,club
Jack Dunn,Liverpool FC,2015-2016,club
Jordan Henderson,Liverpool FC,2015-2016,club
Joao Carlos Teixeira,Liverpool FC,2015-2016,club
Ryan Kent,Liverpool FC,2015-2016,club
Adam Lallana,Liverpool FC,2015-2016,club
Lucas Leiva,Liverpool FC,2015-2016,club
James Milner,Liverpool FC,2015-2016,club
Sheyi Ojo,Liverpool FC,2015-2016,club
Pedro Chirivella,Liverpool FC,2015-2016,club
Adam Phillips,Liverpool FC,2015-2016,club
Jordan Rossiter,Liverpool FC,2015-2016,club
Kevin Stewart,Liverpool FC,2015-2016,club
Christian Benteke,Liverpool FC,2015-2016,club
Jordon Ibe,Liverpool FC,2015-2016,club
Danny Ings,Liverpool FC,2015-2016,club
Divock Origi,Liverpool FC,2015-2016,club
Roberto Firmino,Liverpool FC,2015-2016,club
Sergi Canos,Liverpool FC,2015-2016,club
Jerome Sinclair,Liverpool FC,2015-2016,club
Daniel Sturridge,Liverpool FC,2015-2016,club
Jurgen Klopp,Liverpool FC,2015-2016,club
Zeljko Buvac,Liverpool FC,2015-2016,club
Peter Krawietz,Liverpool FC,2015-2016,club
Pepijn Lijnders,Liverpool FC,2015-2016,club
John Achterberg,Liverpool FC,2015-2016,club
Loris Karius,Liverpool FC,2016-2017,club
Alexander Manninger,Liverpool FC,2016-2017,club
Simon Mignolet,Liverpool FC,2016-2017,club
Alberto Moreno,Liverpool FC,2016-2017,club
Trent Alexander-Arnold,Liverpool FC,2016-2017,club
Nathaniel Clyne,Liverpool FC,2016-2017,club
Joe Gomez,Liverpool FC,2016-2017,club
Ragnar Klavan,Liverpool FC,2016-2017,club
Dejan Lovren,Liverpool FC,2016-2017,club
Joel Matip,Liverpool FC,2016-2017,club
James Milner,Liverpool FC,2016-2017,club
Connor Randall,Liverpool FC,2016-2017,club
Emre Can,Liverpool FC,2016-2017,club
Coutinho,Liverpool FC,2016-2017,club
Ovie Ejaria,Liverpool FC,2016-2017,club
Marko Grujic,Liverpool FC,2016-2017,club
Jordan Henderson,Liverpool FC,2016-2017,club
Adam Lallana,Liverpool FC,2016-2017,club
Lucas Leiva,Liverpool FC,2016-2017,club
Sheyi Ojo,Liverpool FC,2016-2017,club
Paulinho,Liverpool FC,2016-2017,club
Kevin Stewart,Liverpool FC,2016-2017,club
Georginio Wijnaldum,Liverpool FC,2016-2017,club
Michael Jordan Williams,Liverpool FC,2016-2017,club
Rhian Brewster,Liverpool FC,2016-2017,club
Danny Ings,Liverpool FC,2016-2017,club
Sadio Mane,Liverpool FC,2016-2017,club
Divock Origi,Liverpool FC,2016-2017,club
